,label,construction,sale,price,bed,bath,sqft,lot size,address1,address2
30,new,new construction,On,565178,3,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10364 Crab Apple Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
31,new,new construction,On,656463,5,3,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10100 Downy Birch Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
32,new,new construction,On,515291,4,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6706 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
33,new,new construction,On,548858,3,2,1,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6919 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
34,new,new construction,On,705209,5,3,3,0,"<div class=""truncate-line"" data-testid=""card-address-1"">7019 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
35,new,new construction,On,575171,4,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6760 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
36,new,new construction,On,668621,5,3,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10124 Downy Birch Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
37,new,new construction,On,605713,4,3,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6825 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
38,new,new construction,On,738212,4,3,3,0,"<div class=""truncate-line"" data-testid=""card-address-1"">10344 Harmosh Ct</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
39,new,new construction,On,520832,3,2,0,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6812 Kilamanjaro Way</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
40,new,new construction,On,699950,5,3,3,0,"<div class=""truncate-line"" data-testid=""card-address-1"">7001 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
41,new,new construction,On,670624,5,3,2,0,"<div class=""truncate-line"" data-testid=""card-address-1"">6931 Foraker Dr</div>","<div class=""truncate-line"" data-testid=""card-address-2"">Stockton, CA 95219</div>"
