,Unnamed: 1,Unnamed: 2,states,city
128,Fort-Wayne,IN,Indiana,indiana/fort-wayne
129,Fort-Worth,TX,Texas,texas/fort-worth
130,Franklin,TN,Tennessee,tennessee/franklin
131,Gainesville,FL,Florida,florida/gainesville
132,Grand-Junction,CO,Colorado,colorado/grand-junction
133,Grand-Rapids,MI,Michigan,michigan/grand-rapids
134,Grants-Pass,OR,Oregon,oregon/grants-pass
135,Great-Falls,MT,Montana,montana/great-falls
136,Greeley,CO,Colorado,colorado/greeley
137,Green-Bay,WI,Wisconsin,wisconsin/green-bay
138,Greensboro,NC,North-Carolina,north-carolina/greensboro
139,Greenville,NC,North-Carolina,north-carolina/greenville
140,Greenville,SC,South-Carolina,south-carolina/greenville
141,Gulfport,MS,Mississippi,mississippi/gulfport
142,Hagerstown,MD,Maryland,maryland/hagerstown
143,Hammonton,NJ,New-Jersey,new-jersey/hammonton
144,Hanford,CA,California,california/hanford
145,Hanover,PA,Pennsylvania,pennsylvania/hanover
146,Harlingen,TX,Texas,texas/harlingen
147,Harrisburg,PA,Pennsylvania,pennsylvania/harrisburg
148,Harrisonburg,VA,Virginia,virginia/harrisonburg
149,Hartford,CT,Connecticut,connecticut/hartford
150,Hattiesburg,MS,Mississippi,mississippi/hattiesburg
151,Henderson,NV,Nevada,nevada/henderson
152,Hickory,NC,North-Carolina,north-carolina/hickory
153,High-Point,NC,North-Carolina,north-carolina/high-point
154,Hillsboro,OR,Oregon,oregon/hillsboro
155,Holland,MI,Michigan,michigan/holland
156,Honolulu,HI,Hawaii,hawaii/honolulu
157,Houghton,MI,Michigan,michigan/houghton
158,Houma,LA,Louisiana,louisiana/houma
159,Houston,TX,Texas,texas/houston
160,Idaho-Falls,ID,Idaho,idaho/idaho-falls
161,Indiana,PA,Pennsylvania,pennsylvania/indiana
162,Iowa-City,IA,Iowa,iowa/iowa-city
163,Ithaca,NY,New-York,new-york/ithaca
164,Jackson,MS,Mississippi,mississippi/jackson
165,Jackson,TN,Tennessee,tennessee/jackson
166,Jacksonville,FL,Florida,florida/jacksonville
167,Janesville,WI,Wisconsin,wisconsin/janesville
168,Jasper,IN,Indiana,indiana/jasper
169,Jefferson-City,MO,Missouri,missouri/jefferson-city
170,Jersey-City,NJ,New-Jersey,new-jersey/jersey-city
171,Joplin,MO,Missouri,missouri/joplin
172,Juneau,AK,Alaska,alaska/juneau
173,Kalamazoo,MI,Michigan,michigan/kalamazoo
174,Kennewick,WA,Washington,washington/kennewick
175,Killeen,TX,Texas,texas/killeen
176,Kingman,AZ,Arizona,arizona/kingman
177,Kingsport,TN,Tennessee,tennessee/kingsport
178,Kissimmee,FL,Florida,florida/kissimmee
179,Knoxville,TN,Tennessee,tennessee/knoxville
180,Kokomo,IN,Indiana,indiana/kokomo
181,La-Porte,IN,Indiana,indiana/la-porte
182,Lafayette,IN,Indiana,indiana/lafayette
183,Lafayette,LA,Louisiana,louisiana/lafayette
184,Lake-Charles,LA,Louisiana,louisiana/lake-charles
185,Lake-Havasu-City,AZ,Arizona,arizona/lake-havasu-city
186,Lakeland,FL,Florida,florida/lakeland
187,Lancaster,PA,Pennsylvania,pennsylvania/lancaster
188,Lansing,MI,Michigan,michigan/lansing
189,Laredo,TX,Texas,texas/laredo
190,Las-Cruces,NM,New-Mexico,new-mexico/las-cruces
191,Las-Vegas,NV,Nevada,nevada/las-vegas
192,Lawton,OK,Oklahoma,oklahoma/lawton
193,Lebanon,PA,Pennsylvania,pennsylvania/lebanon
194,Lenoir,NC,North-Carolina,north-carolina/lenoir
195,Lewiston,ID,Idaho,idaho/lewiston
196,Lewiston,ME,Maine,maine/lewiston
197,Lexington,KY,Kentucky,kentucky/lexington
198,Lima,OH,Ohio,ohio/lima
199,Lincoln,NE,Nebraska,nebraska/lincoln
200,Little-Rock,AR,Arkansas,arkansas/little-rock
201,Lodi,CA,California,california/lodi
202,Long-Beach,CA,California,california/long-beach
203,Longview,TX,Texas,texas/longview
204,Longview,WA,Washington,washington/longview
205,Los-Alamos,NM,New-Mexico,new-mexico/los-alamos
206,Los-Angeles,CA,California,california/los-angeles
207,Lubbock,TX,Texas,texas/lubbock
208,Lynchburg,VA,Virginia,virginia/lynchburg
209,Madera,CA,California,california/madera
210,Madison,WI,Wisconsin,wisconsin/madison
211,Manchester,NH,New-Hampshire,new-hampshire/manchester
212,Manitowoc,WI,Wisconsin,wisconsin/manitowoc
213,Marco-Island,FL,Florida,florida/marco-island
214,Marshall,MN,Minnesota,minnesota/marshall
215,Massillon,OH,Ohio,ohio/massillon
216,Mauldin,SC,South-Carolina,south-carolina/mauldin
217,Melbourne,FL,Florida,florida/melbourne
218,Merced,CA,California,california/merced
219,Mesa,AZ,Arizona,arizona/mesa
220,Miami,FL,Florida,florida/miami
221,Milford,CT,Connecticut,connecticut/milford
222,Milwaukee,WI,Wisconsin,wisconsin/milwaukee
223,Minneapolis,MN,Minnesota,minnesota/minneapolis
224,Mission,TX,Texas,texas/mission
225,Missoula,MT,Montana,montana/missoula
226,Modesto,CA,California,california/modesto
227,Moline,IL,Illinois,illinois/moline
228,Monroe,LA,Louisiana,louisiana/monroe
229,Morganton,NC,North-Carolina,north-carolina/morganton
230,Morgantown,WV,West-Virginia,west-virginia/morgantown
231,Morristown,TN,Tennessee,tennessee/morristown
232,Mount-Vernon,WA,Washington,washington/mount-vernon
233,Murfreesboro,TN,Tennessee,tennessee/murfreesboro
234,Muscatine,IA,Iowa,iowa/muscatine
235,Muskegon,MI,Michigan,michigan/muskegon
236,Muskogee,OK,Oklahoma,oklahoma/muskogee
237,Myrtle-Beach,SC,South-Carolina,south-carolina/myrtle-beach
238,Napa,CA,California,california/napa
239,Naples,FL,Florida,florida/naples
240,Nashua,NH,New-Hampshire,new-hampshire/nashua
241,Nashville,TN,Tennessee,tennessee/nashville
242,New-Braunfels,TX,Texas,texas/new-braunfels
243,New-Haven,CT,Connecticut,connecticut/new-haven
244,New-London,CT,Connecticut,connecticut/new-london
245,New-Orleans,LA,Louisiana,louisiana/new-orleans
246,New-York,NY,New-York,new-york/new-york
247,Newark,NJ,New-Jersey,new-jersey/newark
248,Niagara-Falls,NY,New-York,new-york/niagara-falls
249,Niles,MI,Michigan,michigan/niles
250,North-Charleston,SC,South-Carolina,south-carolina/north-charleston
251,North-Little-Rock,AR,Arkansas,arkansas/north-little-rock
252,North-Myrtle-Beach,SC,South-Carolina,south-carolina/north-myrtle-beach
253,North-Port,FL,Florida,florida/north-port
254,Norwalk,CT,Connecticut,connecticut/norwalk
255,Norwich,CT,Connecticut,connecticut/norwich
256,Oakland,CA,California,california/oakland
257,Ocala,FL,Florida,florida/ocala
258,Odessa,TX,Texas,texas/odessa
259,Ogden,UT,Utah,utah/ogden
260,Oklahoma-City,OK,Oklahoma,oklahoma/oklahoma-city
261,Olympia,WA,Washington,washington/olympia
262,Ontario,CA,California,california/ontario
263,Orem,UT,Utah,utah/orem
264,Orlando,FL,Florida,florida/orlando
265,Ormond-Beach,FL,Florida,florida/ormond-beach
266,Owensboro,KY,Kentucky,kentucky/owensboro
